S/N,REGION,DISTRICT,CONSTITUENCY,CANDIDATE,PARTY,COMMENT
147,WEST ANKOLE,SHEEMA,WOMAN MP,NYAKIGONGORO ROSEMARY,NRM,NEW
148,WEST ANKOLE,SHEEMA,SHEEMA MUNICIPALITY,DICKSON KATESHUMBWA,NRM,NEW
149,WEST ANKOLE,SHEEMA,SHEEMA SOUTH,PROF. MUSHEMEZA DICKENS,IND/NRM,NEW
153,WEST ANKOLE,RUBIRIZI,KATERERA,KATO MOHAMMED,NRM,NEW
154,RWENZORI,KAMWENGE,WOMAN MP,BAHEREIRA SYLVIA,IND/NRM,NEW
158,RWENZORI,BUNYANGABO,BUNYANGABO,KAMUKAMA DAVIS,NRM,NEW
159,RWENZORI,FORT PORTAL CITY,CITY WOMAN MP,LINDA IRENE,NRM,NEW
162,RWENZORI,KABAROLE,WOMAN MP,HON. BUSINGE VICTORIA RUSOKE,NRM,NEW
163,RWENZORI,KABAROLE,BURAHYA,HON. KASAIJA STEPHEN KAGWERA,NRM,NEW
167,RWENZORI,BUNDIBUGYO,BUGHENDERA,ACROBAT KIZA MOSES,IND/NRM,NEW
169,RWENZORI,KASESE,WOMAN MP,KABUGHO FLORENCE,FDC,NEW
172,RWENZORI,KASESE,BUSONGORA NORTH,KITANYWA SOWEDI,NRM,NEW
173,RWENZORI,KASESE,BUSONGORA SOUTH,THEMBO GIDEON MUJUNGU,NRM,NEW
174,RWENZORI,KASESE,KASESE MUNICIPALITY,KAMBALE FERIGO,NRM,NEW
177,RWENZORI,KYENJOJO,WOMAN MP,FAITH PHILLO KUNIHIRA,NRM,NEW
181,RWENZORI,KYEGEGWA,WOMAN MP,KABAHENDA FLAVIA RWABUHORO,NRM,NEW
182,RWENZORI,KYEGEGWA,KYAKA CENTRAL,HON. TOM BRIGHT,NRM,NEW
186,KIGEZI,KABALE,KABALE MUNICIPALITY,DR. NICHOLAS KAMARA,FDC,NEW
189,KIGEZI,RUKUNGIRI,WOMAN MP,NATUKUNDA MEDIUS KAHARATA,NRM,NEW
190,KIGEZI,RUKUNGIRI,RUKUNGIRI MUNICIPALITY,DR. ELISA RUTAHIGWA,NRM,NEW
191,KIGEZI,RUKUNGIRI,RUJUMBURA,HON. JIM MUHWEZI KATUGUGU,NRM,NEW
192,KIGEZI,RUKUNGIRI,RUBABO,NAMANYA NABOTH,FDC,NEW
193,KIGEZI,KANUNGU,WOMAN MP,KINSHABA PATIENCE NKUNDA,NRM,NEW
198,KIGEZI,RUBANDA,RUBANDA WEST,KAMUNTU MOSES MWONGYERE,IND/NRM,NEW
200,KIGEZI,RUKIGA,RUKIGA,ROLAND NDYOMUGYENYI,IND/ANT,NEW
201,KIGEZI,KISORO,WOMAN MP,HON. NYIRABASHITSI SARAH MATEKE,NRM,NEW
202,KIGEZI,KISORO,BUFUMBIRA SOUTH,ENG. NIYONSABA ALEX SERUGANDA,NRM,NEW
205,KIGEZI,KISORO,KISORO MUNICIPALITY,KWIZERA PAUL BUCHANA,NRM,NEW
206,KIGEZI,KISORO,BUKIMBIRI,EDDIE KWIZERA WAGAHUNGU,NRM,NEW
212,BUNYORO,KIKUUBE,WOMAN MP,NATUMANYA FLORA,NRM,NEW
213,BUNYORO,KIKUUBE,BUHAGUZI EAST,ASEERA STEPHEN,IND/NRM,NEW
214,BUNYORO,KIKUUBE,BUHAGUZI,TWINOMUJUNI FRANCIS,NRM,NEW
223,BUNYORO,KAKUMIRO,BUGANGAIZI SOUTH,TUMWESIGYE JOSEPHAT,NRM,NEW
229,BUNYORO,HOIMA CITY,CITY WOMAN MP,NYAKATO ASINANSI,FDC,NEW
230,BUNYORO,HOIMA CITY,HOIMA EAST DIVISION,ISINGOMA PATRICK MWESIGWA,IND/NRM,NEW
231,BUNYORO,HOIMA CITY,HOIMA WEST DIVISION,DR. RUYONGA JOSEPH,NRM,NEW
244,TESO,KALAKI,WOMAN MP,AYOO JENNIFER,NRM,NEW
246,TESO,KATAKWI,WOMAN MP,HON. ALUPO JESSICA ROSE EPEL,IND/NRM,NEW
247,TESO,KATAKWI,USUK,OKIROR BOSCO,NRM,NEW
252,TESO,KUMI,WOMAN MP,APOLOT CHRISTINE,NRM,NEW
254,TESO,KUMI,KUMI MUNICIPALITY,HON. AOGON SILAS,IND/NRM,NEW
255,TESO,KUMI,KANYUM,OPOLOT SIMON PETER,NRM,NEW
256,TESO,NGORA,WOMAN MP,APOLOT STELLA ISODO,FDC,NEW
265,TESO,SOROTI CITY,WEST DIVISION,EBWALU JONATHAN,IND/ANT,NEW
268,TESO,SOROTI,SOROTI,ENINU SAMUEL,IND/NRM,NEW
270,BUSOGA,BUYENDE,WOMAN MP,NAKATO MARY ANNET,IND/NRM,NEW
271,BUSOGA,BUYENDE,BUDIOPE EAST,ENG. MAGOGO MOSES,NRM,NEW
272,BUSOGA,BUYENDE,BUDIOPE WEST,MUBITO JOHN B0SCO,IND/NRM,NEW
278,BUSOGA,KAMULI,BUGABULA NORTH,MULINDWA GEORGE,IND/NRM,NEW
280,BUSOGA,KAMULI,BUZAAYA,MUGABI MUZAALE MARTIN KISULE,NRM,NEW
281,BUSOGA,KAMULI,KAMULI MUNICIPALITY,BAUDA KAYANGA WATONGOLA,IND/NRM,NEW
282,BUSOGA,BUGWERI,WOMAN MP,MAGOOLA RACHEAL,NRM,NEW
284,BUSOGA,IGANGA,WOMAN MP,KAUMA SAUDA,NRM,NEW
286,BUSOGA,IGANGA,KIGULU SOUTH,MUWUMA MILTON KALULU,NRM,NEW
288,BUSOGA,JINJA,WOMAN MP,PEACE TIBYAZE,IND/NRM,NEW
289,BUSOGA,JINJA,KAGOMA NORTH,KINTU ALEX BRANDON,NRM,NEW
290,BUSOGA,JINJA,BUTEMBE,ZIJAN DAVID LIVINGSTONE,IND/NRM,NEW
293,BUSOGA,JINJA CITY,JINJA NORTH DIVISION,ISABIRYE DAVID AGA,FDC,NEW
297,BUSOGA,LUUKA,LUUKA NORTH,KYOBE LUKE,NRM,NEW
303,BUSOGA,NAMAYINGO,WOMAN MP,MAKOHA MARGRET OKUNGA,IND/NRM,NEW
306,BUSOGA,NAMAYINGO,NAMAYINGO SOUTH,ODWORI WANYAMA MICHAEL,NRM,NEW
307,BUSOGA,KALIRO,WOMAN MP,NAMUKUTA BRENDA,NRM,NEW
308,BUSOGA,KALIRO,BULAMOGI,BADEBYE NAMWANZA DAN,IND/NRM,NEW
312,BUSOGA,MAYUGE,BUNYA SOUTH,ISABIRYE IDDI,NRM,NEW
315,BUKEDI,KIBUKU,KABWERI,MUGOLE MAUKU STEPHEN,NRM,NEW
317,BUKEDI,BUTALEJA,WOMAN MP,HON. ANDIRU FLORENCE NEBANDA,NRM,NEW
318,BUKEDI,BUTALEJA,BUNYOLE EAST,MUTEMBULE YUSUF,NRM,NEW
319,BUKEDI,BUTALEJA,BUNYOLE WEST,MUTIWA GEOFFREY,NRM,NEW
320,BUKEDI,TORORO,WOMAN MP,AYO JACINTA ATHIENO,IND/NRM,NEW
324,BUKEDI,TORORO,WEST BUDAMA NORTH,OCHAI MAXIMUS,NRM,NEW
325,BUKEDI,TORORO,WEST BUDAMA NORTH EAST,HON. FOX ODOI OYWELOWO,NRM,NEW
327,BUKEDI,TORORO,WEST BUDAMA SOUTH,OTHIEM EMMANUEL OTALA,NRM,NEW
328,BUKEDI,PALLISA,WOMAN MP,KAALA KEVIN OJINGA,NRM,NEW
329,BUKEDI,PALLISA,AGULE,OGWARI POLYCAP,IND/NRM,NEW
331,BUKEDI,PALLISA,GOGONYO,ORONE DERRICK,NRM,NEW
332,BUKEDI,PALLISA,PALLISA,OTUKOL SAM,NRM,NEW
334,BUKEDI,BUTEBO,BUTEBO,MUTONO PATRICK LODOI,NRM,NEW
336,BUKEDI,BUDAKA,BUDAKA,MBOII ARTHUR WAAKO,IND/NRM,NEW
338,BUKEDI,BUSIA,WOMAN MP,AUMA HELLEN WANDERA,NRM,NEW
339,BUKEDI,BUSIA,SAMIA BUGWE SOUTH,WERE GODFREY ODERO,IND/NRM,NEW
341,BUKEDI,BUSIA,SAMIA BUGWE NORTH,MULIMBA JOHN,NRM,NEW
342,BUKEDI,BUSIA,SAMIA BUGWE CENTRAL,NYANGWESHO DENIS,IND/NRM,NEW
344,ELGON,MBALE CITY,NORTHERN DIVISION,MASABA IVAN,NUP,NEW
345,ELGON,MBALE CITY,INDUSTRIAL CITY DIVISION,MASABA KARIM,IND/NUP,NEW
346,ELGON,MBALE,WOMAN MP,MUKHAYE MIRIAM,IND/NRM,NEW
347,ELGON,MBALE,BUNGOKHO SOUTH,WANDWASI ROBERT,NRM,NEW
348,ELGON,MBALE,BUNGOKHO NORTH,WANYENYA SHAFIGA,IND/NRM,NEW
349,ELGON,MBALE,BUNGOKHO CENTRAL,WANDA RICHARD,NRM,NEW
351,ELGON,BULAMBULI,BULAMBULI,KATENYA ISAAC,IND/NRM,NEW
352,ELGON,BULAMBULI,ELGON,HON. WAMAKUYU MUDIMI IGNATIUS INYASIO,NRM,NEW
353,ELGON,BULAMBULI,ELGON NORTH,NANGOLI GERALD,NRM,NEW
354,ELGON,BUDUDA,WOMAN MP,NANDUTU AGNES,IND/NRM,NEW
355,ELGON,BUDUDA,BUKYIGAI,WAKIKONA W. DAVID,NRM,NEW
357,ELGON,BUDUDA,LUTSHESHE,MUDOI ISAAC,NRM,NEW
359,ELGON,SIRONKO,BUDADIRI EAST,SSASAGA ISAIAH JOHNY,FDC,NEW
362,ELGON,NAMISINDWA,BUBULO EAST,MUSILA JOHN,IND/NRM,NEW
363,ELGON,NAMISINDWA,NAMISINDWA,HON. MASIKA APOLLO,NRM,NEW
365,ELGON,MANAFWA,BUBULO WEST,WERIKHE PETER CHRISTOPHER,NRM,NEW
366,ELGON,MANAFWA,BUTIRU,WAKOOLI GODFREY MATEMBU,NRM,NEW
367,ELGON,KAPCHORWA,WOMAN MP,CHEMUTAI PHYLLIS,NRM,NEW
368,ELGON,KAPCHORWA,TINGEI,TWALLA FADIL,NRM,NEW
377,KARAMOJA,KARENGA,DODOTH WEST,BATOM BEN KORYANG,NRM,NEW
378,KARAMOJA,KARENGA,NAPORE WEST,LOKWANG PHILIPS ILUKOL,NRM,NEW
380,KARAMOJA,ABIM,LABWOR,OCHERO JIMBRICKY NORMAN,NRM,NEW
381,KARAMOJA,NABILATUK,WOMAN MP,AWAS SYLIVIA VICKY,NRM,NEW
384,KARAMOJA,MOROTO,MOROTO MUNICIPALITY,ADOME FRANCIS LORIKA,NRM,NEW
388,KARAMOJA,NAKAPIRIPIRIT,CHEKWII,ALEPER MOSES,NRM,NEW
389,KARAMOJA,NAKAPIRIPIRIT,CHEKWII EAST,HON. LOKERIS TEKO PETER,NRM,NEW
391,KARAMOJA,KOTIDO,KOTIDO MUNICIPALITY,ISMAIL MUHAMMAD LOMWAR,NRM,NEW
393,KARAMOJA,AMUDAT,WOMAN MP,CHELAIN BETTY LUOKE,NRM,NEW
394,KARAMOJA,AMUDAT,UPE,LOLEM MICAH AKASILE,NRM,NEW
396,KARAMOJA,KAABONG,DODOTH EAST,KOMOL EMMANUEL,IND/NRM,NEW
397,KARAMOJA,KAABONG,DODOTH NORTH,KOMOL JOSEPH MIID ACHUKA,NRM,NEW
399,KARAMOJA,NAPAK,WOMAN MP,NAKUT FAITH,NRM,NEW
400,KARAMOJA,NAPAK,BOKORA,NGOYA JOHN BOSCO,NRM,NEW
401,KARAMOJA,NAPAK,BOKORA EAST,LOCHAP PETER KHEN ANGELLA,NRM,NEW
403,WEST NILE,OBONGI,OBONGI,DR. GEORGE BHOKA DIDI,NRM,NEW
404,WEST NILE,NEBBI,WOMAN MP,ACIBU AGNES,NRM,NEW
406,WEST NILE,NEBBI,PADYERE,OTINGIU ISAAC ISMAIL,NRM,NEW
407,WEST NILE,MADI-OKOLLO,WOMAN MP,JOAN ANIKU OKIA,NRM,NEW
408,WEST NILE,MADI-OKOLLO,LOWER MADI,AFIDRA RONALD OLEMA,NRM,NEW
409,WEST NILE,MADI-OKOLLO,UPPER MADI,HON. ETUKA ISAAC JOACKINO,NRM,NEW
410,WEST NILE,YUMBE,WOMAN MP,AVAKO NAIMA MELSA GULE,NRM,NEW
411,WEST NILE,YUMBE,ARINGA,EZAMA SIRAJE BRAHAN,NRM,NEW
416,WEST NILE,KOBOKO,KOBOKO MUNICIPALITY,AYUME CHARLES,NRM,NEW
418,WEST NILE,KOBOKO,KOBOKO NORTH,MUSA NOAH,IND/NRM,NEW
421,WEST NILE,MARACHA,WOMAN MP,DRIWARU JENNIPHER,NRM,NEW
422,WEST NILE,MARACHA,MARACHA EAST,LEMATIA RUTH MOLLY,NRM,NEW
427,WEST NILE,ARUA CITY,ARUA CENTRAL,ATIIMA JACKSON,NRM,NEW
432,WEST NILE,ADJUMANI,ADJUMANI EAST,MAMAWI DENIS,NRM,NEW
438,WEST NILE,ZOMBO,WOMAN MP,AFOYOCHAN ESTHER,NRM,NEW
440,WEST NILE,ZOMBO,OKORO,OKUMU GABRIEL,NRM,NEW
441,LANGO,LIRA,WOMAN MP,AUMA LINDA AGNES,IND/NRM,NEW
442,LANGO,LIRA,ERUTE NORTH,AKELLO CHRISTINE,NRM,NEW
444,LANGO,LIRA CITY,CITY WOMAN MP,DR. ACENG JANE RUTH OCERO,NRM,NEW
446,LANGO,LIRA CITY,LIRA CITY WEST,OBONG VINCENT SHEDRICK EYIT,IND/UPC,NEW
447,LANGO,APAC,WOMAN MP,ACHOLA SUZAN,UPC,NEW
448,LANGO,APAC,MARUZI NORTH,OKELLO NELSON,UPC,NEW
451,LANGO,KWANIA,WOMAN MP,AUMA KENNY,UPC,NEW
453,LANGO,KWANIA,KWANIA NORTH,OKAE BOB,UPC,NEW
460,LANGO,AMOLATAR,WOMAN MP,ATIM AGNES APEA,NRM,NEW
461,LANGO,AMOLATAR,KIOGA,OKOT MOSES JUNIOR,FDC,NEW
462,LANGO,AMOLATAR,KIOGA NORTH,OLOBO JAMES DUBAI,NRM,NEW
463,LANGO,OTUKE,WOMAN MP,ABEJA SUZAN JOLLY,IND/NRM,NEW
464,LANGO,OTUKE,OTUKE,OMARA PAUL,IND/UPC,NEW
466,LANGO,ALEBTONG,WOMAN MP,ACEN DORCUS,NRM,NEW
470,LANGO,DOKOLO,DOKOLO NORTH,OGWAL MOSES GOLI,NRM,NEW
472,ACHOLI,KITGUM,WOMAN MP,ABER LILIAN,NRM,NEW
473,ACHOLI,KITGUM,KITGUM MUNICIPALITY,ONEKALIT DENIS AMERE,FDC,NEW
474,ACHOLI,KITGUM,CHUA EAST,HON. LAMWAKA MARGRET,IND/NRM,NEW
476,ACHOLI,NWOYA,WOMAN MP,ACHAN JUDITH PEACE,NRM,NEW
477,ACHOLI,NWOYA,NWOYA,AWANY TONNY,NRM,NEW
480,ACHOLI,PADER,ARUU NORTH,OKOT SANTA,PPP,NEW
481,ACHOLI,PADER,ARUU,KOMAKECH CHRISTOPHER,IND/NRM,NEW
486,ACHOLI,AGAGO,AGAGO,LAGEN DAVID ATUKA,NRM,NEW
487,ACHOLI,AGAGO,AGAGO NORTH,OKOT JOHN AMOS,NRM,NEW
493,ACHOLI,GULU CITY,GULU EAST,FR.ONEN CHARLES,IND/FDC,NEW
495,ACHOLI,GULU,WOMAN MP,LAKER SHARON BALMOI,NRM,NEW
497,ACHOLI,LAMWO,WOMAN MP,ACORA NANCY,IND/NRM,NEW
6,KMP,KAMPALA,KAMPALA CENTRAL DIVISION,HON. NSEREKO MUHAMMED,IND,OLD
9,KMP,KAMPALA,MAKINDYE WEST,HON. ALAN SSEWANYANA,IND/NUP,OLD
13,KMP,WAKISO,BUSIRO EAST,HON. MEDARD SSEGGONA,NUP,OLD
17,KMP,WAKISO,KIRA MUNICIPALITY,HON. SSEMUJJU IBRAHIM NGANDA,FDC,OLD
25,EAST BUGANDA,BUVUMA,BUVUMA,HON. MIGADDE ROBERT NDUGWA,NRM,OLD
26,EAST BUGANDA,KAYUNGA,WOMAN MP,HON. NANTABA AIDAH,IND/NRM,OLD
28,EAST BUGANDA,KAYUNGA,NTENJERU NORTH,HON. LUGOLOOBI AMOS,NRM,OLD
33,EAST BUGANDA,MUKONO,MUKONO MUNICIPALITY,HON. BAKIREKE BETTY NAMBOOZE,NUP,OLD
36,NORTH BUGANDA,KYANKWANZI,NTWETWE,HON. SEBIKALI YOWERI,NRM,OLD
42,NORTH BUGANDA,NAKASEKE,WOMAN MP,HON. NAJJUMA SARAH,NRM,OLD
44,NORTH BUGANDA,NAKASEKE,NAKASEKE SOUTH,HON. LUTTAMAGUZI SEMAKULA,DP,OLD
48,NORTH BUGANDA,KIBOGA,KIBOGA EAST,HON. KEEFA KIWANUKA,NRM,OLD
51,NORTH BUGANDA,NAKASONGOLA,NAKASONGOLA,HON. MUTEBI NOAH WANZALA,NRM,OLD
52,SOUTH BUGANDA,LWENGO,WOMAN MP,HON. NAMUJJU CISSY DIONOZIO,NRM,OLD
53,SOUTH BUGANDA,LWENGO,BUKOTO WEST,HON. SENTAYI MUHAMMED,NRM,OLD
54,SOUTH BUGANDA,LWENGO,BUKOTO MID-WEST,SSEJJOBA ISAAC,NRM,OLD
56,SOUTH BUGANDA,LYANTONDE,WOMAN MP,HON. KEMIREMBE PAULINE KYAKA,NRM,OLD
62,SOUTH BUGANDA,MASAKA CITY,NYENDO/MUKUNGWE,HON. MATHIAS MPUUGA,NUP,OLD
64,SOUTH BUGANDA,RAKAI,WOMAN MP,HON. JULIET SUUBI KINYAMATAMA,IND/NRM,OLD
65,SOUTH BUGANDA,RAKAI,KOOKI,HON. NINSIIMA BOAZ KASIRABO,NRM,OLD
69,SOUTH BUGANDA,KYOTERA,KAKUUTO,HON. KALEMBA CHRISTOPHER,NRM,OLD
72,SOUTH BUGANDA,SEMBABULE,LWEMIYAGA,HON. SSEKIKUBO THEODORE,NRM,OLD
74,SOUTH BUGANDA,SEMBABULE,MAWOGOLA WEST,HON. BANGIRANA ANIFA KAWOOYA,NRM,OLD
75,SOUTH BUGANDA,BUKOMANSIMBI,WOMAN MP,HON. NANYONDO VERONICA NAMAGANDA,NUP,OLD
78,SOUTH BUGANDA,KALUNGU,WOMAN MP,HON. SSEKINDI AISHA,NRM,OLD
80,SOUTH BUGANDA,KALUNGU,KALUNGU WEST,HON. SSEWUNGU JOSEPH GONZAGA,NUP,OLD
83,SOUTH BUGANDA,KALANGALA,BUJUMBA,HON. BADDA FRED,NRM,OLD
87,WEST BUGANDA,GOMBA,WOMAN MP,HON. NAYEBARE SYLVIA,NRM,OLD
88,WEST BUGANDA,GOMBA,GOMBA WEST,HON. RWAKOOJO ROBINA GUREME,NRM,OLD
91,WEST BUGANDA,BUTAMBALA,BUTAMBALA,HON. MUWANGA KIVUMBI MUHAMMAD,NUP,OLD
98,WEST BUGANDA,KASSANDA,KASSANDA NORTH,HON. NSAMBA PATRICK,NUP,OLD
100,WEST BUGANDA,KASSANDA,BUKUYA,HON. BUKENYA MICHEAL KYABIKOLA,NRM,OLD
104,WEST BUGANDA,MITYANA,MITYANA MUNICIPALITY,HON. ZAAKE FRANCIS,NUP,OLD
105,WEST BUGANDA,MITYANA,BUSUJJU,HON. LUKYAMUZI DAVID KALWANGA,NUP,OLD
114,EAST ANKOLE,IBANDA,IBANDA MUNICIPALITY,HON. RWABURINDORI BISHANGA TARISIS,NRM,OLD
117,EAST ANKOLE,MBARARA,KASHARI SOUTH,HON. TWESIGYE NATHAN ITUNGO,IND/NRM,OLD
131,EAST ANKOLE,ISINGIRO,BUKANGA,HON. KANGWANGYE STEPHEN RWAKANUUMA,IND/NRM,OLD
132,EAST ANKOLE,ISINGIRO,ISINGIRO NORTH,HON. RWAMIRAMA BRIGHT KANYONTORE,NRM,OLD
133,EAST ANKOLE,ISINGIRO,ISINGIRO SOUTH,BYARUHANGA ALEX BAKUNDA,NRM,OLD
137,WEST ANKOLE,BUSHENYI,IGARA WEST,HON. MBWATEKAMWA GAFFA,NRM,OLD
138,WEST ANKOLE,BUSHENYI,IGARA EAST,HON. MAWANDA MICHEAL,NRM,OLD
146,WEST ANKOLE,BUHWEJU,BUHWEJU,HON. FRANCIS MWIJUKYE,FDC,OLD
150,WEST ANKOLE,SHEEMA,SHEEMA NORTH,HON. NAUME KIBAJU,NRM,OLD
151,WEST ANKOLE,RUBIRIZI,WOMAN MP,KASENDE GRACE BATIRINGAYA,NRM,OLD
152,WEST ANKOLE,RUBIRIZI,BUNYARUGURU,HON. TWESIGYE JOHN NTAMUHIRA,NRM,OLD
157,RWENZORI,BUNYANGABO,WOMAN MP,HON. MUTUNZO PEACE REGIS,NRM,OLD
160,RWENZORI,FORT PORTAL CITY,NORTH DIVISION,HON. MUGISA MARGARET ANNET MUHANGA,NRM,OLD
161,RWENZORI,FORT PORTAL CITY,CENTRAL DIVISION,HON. ALEX RUHUNDA,NRM,OLD
166,RWENZORI,BUNDIBUGYO,WOMAN MP,HON. BEBONA BABUNGI JOSEPHINE,NRM,OLD
168,RWENZORI,BUNDIBUGYO,BWAMBA,HON. GAFABUSA RICHARD,NRM,OLD
170,RWENZORI,KASESE,BUKONZO EAST,HON. MUHINDO HEROLD TONNY,FDC,OLD
171,RWENZORI,KASESE,BUKONZO WEST,HON. KATUSABE GODFREY,FDC,OLD
175,RWENZORI,NTOROKO,WOMAN MP,HON. ANNA MARY KOBUGABE TUMWINE,NRM,OLD
176,RWENZORI,NTOROKO,NTOROKO,HON. RWEMULIKYA IBANDA GERALD,IND/NRM,OLD
179,RWENZORI,KYENJOJO,MWENGE CENTRAL,HON. TOM BUTIME,NRM,OLD
183,RWENZORI,KYEGEGWA,KYAKA NORTH,HON. PAUL ASABA,NRM,OLD
185,KIGEZI,KABALE,WOMAN MP,HON. NDAMIRA CATHERINE ATWAKIRE,NRM,OLD
187,KIGEZI,KABALE,NDORWA EAST,HON. NIWAGABA WILFRED,IND/FDC,OLD
188,KIGEZI,KABALE,NDORWA WEST,HON. DAVID BAHATI,NRM,OLD
194,KIGEZI,KANUNGU,KINKIZI EAST,HON. BARYOMUNSI CHRIS,NRM,OLD
195,KIGEZI,KANUNGU,KINKINZI WEST,HON. KABERUKA JAMES NIRINGYIMANA,NRM,OLD
196,KIGEZI,RUBANDA,WOMAN MP,HON. PROSSY AKAMPURIRA,NRM,OLD
197,KIGEZI,RUBANDA,RUBANDA EAST,HON. HENRY MUSASIIZI ALIGANYIRA,NRM,OLD
199,KIGEZI,RUKIGA,WOMAN MP,HON. CAROLINE KAMUSIIME,NRM,OLD
203,KIGEZI,KISORO,BUFUMBIRA EAST,HON. JAMES NSABA BUTURO,NRM,OLD
204,KIGEZI,KISORO,BUFUMBIRA NORTH,HON. JOHN NIZEYIMANA KAMARA,NRM,OLD
209,BUNYORO,KIBAALE,WOMAN MP,HON. BASEMERA NOELINE KISEMBO,NRM,OLD
218,BUNYORO,KAGADI,WOMAN MP,HON. MBABAZI JENIPHER KYOMUHENDO,NRM,OLD
219,BUNYORO,KAGADI,BUYAGA WEST,HON. TINKANSIMIRE BARNABAS,NRM,OLD
220,BUNYORO,KAGADI,BUYAGA EAST,HON. MUSANA ERIC ACALI,IND/NRM,OLD
221,BUNYORO,KAKUMIRO,WOMAN MP,HON. NABBANJA ROBINAH,NRM,OLD
