S/N,REGION,DISTRICT,CONSTITUENCY,CANDIDATE,PARTY,COMMENT
417,WEST NILE,KOBOKO,KOBOKO,HON. BABA JAMES BOLIBA,NRM,OLD
420,WEST NILE,PAKWACH,JONAM,HON. ONGIERTHO EMMANUEL,FDC,OLD
423,WEST NILE,MARACHA,MARACHA,HON. OGUZU LEE DENIS,FDC,OLD
430,WEST NILE,ADJUMANI,WOMAN MP,HON. ABABIKU JESCA,NRM,OLD
431,WEST NILE,ADJUMANI,ADJUMANI WEST,HON. MOSES ALI,NRM,OLD
433,WEST NILE,MOYO,WOMAN MP,HON. MORIKU JOYCE KABUTU,NRM,OLD
434,WEST NILE,MOYO,MOYO WEST,HON. AZA TOM ALERU,NRM,OLD
436,WEST NILE,TEREGO,TEREGO EAST,HON. OBINGA MARIO KAMYA,NRM,OLD
439,WEST NILE,ZOMBO,ORA,HON.BIYIKA LAWRENCE SONGA,NRM,OLD
443,LANGO,LIRA,ERUTE SOUTH,HON. ODUR JONATHAN,UPC,OLD
445,LANGO,LIRA CITY,LIRA CITY EAST,HON. AKENA JAMES MICHAEL JIMMY OBOTE,UPC,OLD
449,LANGO,APAC,APAC MUNICIPALITY,HON. PATRICK OCAN,UPC,OLD
450,LANGO,APAC,MARUZI,HON. AKORA MAXWELL,UPC,OLD
452,LANGO,KWANIA,KWANIA,HON. AYO TONNY,NRM,OLD
454,LANGO,OYAM,WOMAN MP,HON. ALUM SANTA SANDRA,UPC,OLD
455,LANGO,OYAM,OYAM NORTH,HON. COL. (RTD) CHARLES OKELLO PATRICK ENGOLA,NRM,OLD
456,LANGO,OYAM,OYAM SOUTH,HON. BETTY AMONG AKENA,UPC,OLD
457,LANGO,KOLE,WOMAN MP,HON. ALYEK JUDITH,NRM,OLD
458,LANGO,KOLE,KOLE SOUTH,HON. OCEN PETER,IND/UPC,OLD
465,LANGO,OTUKE,OTUKE EAST,HON. ACON JULIUS BUA,NRM,OLD
467,LANGO,ALEBTONG,AJURI,HON. OBUA DENIS HAMSON,NRM,OLD
468,LANGO,ALEBTONG,MOROTO,HON. OKWIR SAMUEL,NRM,OLD
469,LANGO,DOKOLO,WOMAN MP,HON. ATIM OGWAL CECILIA BARBRA,FDC,OLD
